0.016,0.008,0.012,0.008,0.012,0.008,0.02,0.004,0.027,-0.004,0.031,0.004,0.016,0.004,0,0.004,0.027,-0.016,0.055,0,0.105,0,0.094,0.016,0.195,0,0.199,0.039,0.348,0.023,0.297,0.059,0.273,0.078,0.16,0.059,0.121,0.082,0.129,0.113,0.09,0.211,0.148,0.117,0.098,0.055,0.023,0.223,0.012,0.203,-0.113,0.285,-0.055,0.277,-0.113,0.289,-0.094,0.281,0.008,0.242,-0.094,0.262,-0.145,0.258,-0.086,0.25,-0.133,0.305,-0.078,0.172,-0.187,0.281,-0.055,0.133,-0.172,0.008,-0.277,-0.047,-0.187,0.141,-0.25,0.039,-0.336,-0.023,-0.387,-0.102,-0.453,-0.184,-0.324,-0.18,-0.281,-0.25,-0.285,-0.242,-0.199,-0.187,-0.293,-0.168,-0.082,-0.289,0.055,-0.266,-0.004,-0.324,-0.082,-0.211,-0.102,-0.227,-0.09,-0.23,0.082,-0.27,0.195,-0.266,0.137,-0.238,-0.055,-0.25,0.07,-0.254,-0.039,-0.262,0.156,-0.051,-0.012,-0.223,0.477,0.004,0.215,-0.039,0.324,-0.125,0.617,-0.098,0.375,-0.172,0.352,-0.09,0.707,0.059,0.367,0.07,0.398,0.043,0.473,-0.137,0.34,-0.066,0.266,0.199,0.281,0.258,0.258,0.105,0.277,0.156,0.199,0.172,0.133,0.227,0.117,0.246,0.172,0.141,0.074,0.207,0.102,0.219,0.027,0.316,-0.047,0.359,-0.207,0.254,-0.031,0.305,-0.199,0.262,-0.078,0.215,-0.371,0.25,-0.309,0.215,-0.367,0.074,-0.535,0.047,-0.41,0.039,-0.266,0.02,-0.027,-0.016,-0.031,-0.078,-0.02,-0.066,-0.008,0.004
0.02,0.012,0.016,0.004,0.02,0.008,0.039,-0.023,0.02,0.016,0.047,-0.008,0.102,-0.016,0.199,-0.012,0.199,0.047,0.281,0.086,0.324,0.121,0.281,0.156,0.234,0.164,0.184,0.129,0.117,0.203,0.07,0.102,0.039,0.164,0.035,0.172,-0.145,0.137,0.07,0.156,0.172,0.18,0.07,0.176,-0.02,0.168,-0.16,0.258,-0.086,0.273,-0.023,0.301,-0.098,0.207,-0.227,0.25,-0.227,0.34,-0.262,0.262,-0.262,0.125,-0.281,0.176,-0.148,-0.004,-0.348,-0.062,-0.367,-0.137,-0.406,-0.152,-0.383,0.02,-0.348,0.008,-0.25,-0.172,-0.262,-0.27,-0.281,-0.227,-0.176,-0.121,-0.207,-0.203,-0.121,-0.34,-0.145,-0.285,-0.195,-0.27,-0.008,-0.34,-0.039,-0.191,-0.055,-0.211,-0.016,-0.16,-0.07,-0.359,0.086,-0.395,0.047,-0.25,0.238,-0.133,0.148,-0.219,0.379,0.102,0.176,-0.211,0.352,-0.242,0.164,-0.211,-0.207,-0.156,0.227,-0.07,0.371,0.074,0.176,-0.035,0.453,0.102,0.137,-0.023,0.117,-0.16,0.184,-0.152,0.148,0.156,0.242,0.164,0.254,0.031,0.25,0.125,0.199,0.141,0.238,0.141,0.207,0.187,0.219,0.176,0.18,0.266,0.02,0.168,0.055,0.172,-0.066,0.266,0.047,0.273,-0.219,0.242,-0.062,0.219,-0.238,0.211,-0.277,0.199,-0.328,0.121,-0.328,0.066,-0.238,0.008,-0.145,0.016,-0.141,0.051,-0.082,-0.008,0.012,-0.035,0.012,0.008,-0.09,-0.035,0.059,0.004,0.129,0.086,0.027,0.012,0.023,-0.027,0.016,0.008,0.07,0.008,0.016,0.016
0.012,0.004,0.023,0.012,0.02,0.008,0.016,0.004,0.043,-0.031,0.027,0.008,0.055,0.016,0.145,-0.047,0.254,-0.066,0.344,-0.023,0.328,0.094,0.395,0.156,0.371,0.176,0.324,0.199,0.137,0.215,0.016,0.27,0.043,0.293,-0.039,0.328,-0.035,0.234,-0.066,0.25,-0.059,0.281,-0.047,0.324,-0.039,0.211,-0.027,0.172,-0.172,0.246,-0.215,0.148,-0.117,0.211,-0.078,0.148,-0.297,0.125,-0.09,0.02,-0.355,0.066,-0.301,0.078,-0.254,-0.168,-0.258,-0.176,-0.266,-0.117,-0.16,-0.172,-0.152,-0.172,-0.168,0.012,-0.18,-0.035,-0.176,-0.207,-0.164,-0.254,-0.066,-0.215,-0.055,-0.18,-0.105,-0.195,-0.016,-0.34,-0.031,-0.227,0.051,-0.199,-0.059,-0.215,-0.012,-0.121,-0.062,-0.07,-0.008,-0.172,0.008,-0.18,-0.059,-0.203,-0.066,-0.211,0.016,-0.223,-0.078,-0.18,0.27,-0.285,0.113,-0.184,0.277,-0.285,0.125,-0.18,0.078,-0.133,0.016,-0.234,0.031,-0.242,0.336,-0.203,0.039,-0.187,0.012,-0.086,0.199,0.031,0.16,0.168,0.285,0.152,0.434,0.168,0.289,0.312,0.035,0.168,0.059,0.23,0.359,0.238,0.25,0.117,0.312,0.242,0.172,0.164,0.078,0.039,0.199,0.164,0.219,0.094,0.113,0.113,0.004,0.109,0.074,0.203,-0.051,0.191,0.031,0.176,0.086,0.152,-0.137,0.168,-0.082,0.164,-0.031,0.172,-0.047,0.156,-0.07,0.125,-0.082,0.059,-0.117,0.117,-0.184,0.141,-0.062,0.031,-0.148,-0.07,-0.113,0.004,-0.168,0.027,-0.211,0.016,-0.16,0.031
0.016,0.008,0.031,0,0.039,0.016,0.062,0.027,0.191,0.031,0.16,0.051,0.266,0.105,0.332,0.148,0.336,0.113,0.281,0.125,0.285,0.199,0.094,0.273,0.219,0.285,0.145,0.129,0.035,0.141,-0.074,0.219,-0.082,0.184,-0.191,0.246,-0.113,0.207,-0.164,0.172,-0.105,0.047,-0.215,0.148,-0.297,0.195,-0.066,0.172,-0.102,0.109,-0.125,0.098,-0.125,0.18,-0.141,0.121,-0.047,-0.02,-0.141,0.066,-0.227,0.066,-0.441,0.109,-0.223,-0.012,-0.355,-0.008,-0.324,-0.102,-0.105,-0.039,-0.242,-0.266,-0.031,-0.289,-0.074,-0.098,-0.066,-0.168,0.059,-0.18,0.023,-0.262,0.078,-0.344,0.016,-0.285,0.023,-0.27,0.031,-0.27,0.027,-0.277,0.012,-0.223,0.027,-0.238,0.062,-0.215,0.027,-0.133,0.055,-0.262,0,-0.227,0.121,-0.137,0.082,-0.254,0.105,-0.203,0.223,-0.102,0.219,-0.184,0.203,-0.18,0.129,-0.184,0.117,-0.211,0.223,-0.125,0.266,-0.047,0.531,0.129,0.305,-0.031,0.246,-0.145,0.133,0.012,0.246,0.02,0.113,0.137,0.215,0.25,0.145,0.141,0.152,0.176,0.246,0.137,0.187,0.246,0.199,0.199,0.148,0.199,0.109,0.094,0.121,0.137,0.051,0.102,0.016,0.23,-0.066,0.223,0.062,0.137,0.023,0.137,-0.055,0.27,-0.07,0.098,-0.113,0.18,0.027,0.129,-0.219,0.129,-0.289,0.113,-0.199,0.074,-0.246,0.09,-0.207,0.016,-0.145,0.012,-0.035,0.047,-0.016,0.031,-0.043,-0.02,-0.039,-0.023,-0.016,-0.031,0.027,0.027,0.008,-0.062
0.047,-0.008,0.051,-0.012,0.039,0.008,0.094,0.004,0.129,0.031,0.156,0.031,0.18,0,0.141,0.035,0.234,0.086,0.277,0.133,0.258,0.145,0.121,0.141,0.121,0.215,0.055,0.211,-0.031,0.219,0.047,0.211,0.066,0.266,0.055,0.258,-0.004,0.211,-0.043,0.273,-0.152,0.301,-0.148,0.203,-0.285,0.199,-0.203,0.117,-0.348,0.051,-0.203,0.152,-0.102,0.187,-0.246,0.07,-0.164,0,-0.406,0.008,-0.344,-0.055,-0.328,-0.109,-0.434,-0.184,-0.285,-0.16,-0.234,-0.145,-0.242,-0.102,-0.215,-0.145,-0.062,-0.137,-0.121,-0.09,-0.137,-0.176,-0.121,-0.18,-0.117,-0.23,-0.137,-0.105,-0.086,-0.191,-0.207,-0.195,-0.215,-0.27,-0.156,-0.258,-0.023,-0.184,-0.023,-0.137,0.047,-0.137,0.148,-0.176,0.168,-0.215,0.215,-0.363,0.266,-0.23,0.148,-0.145,0.363,-0.25,0.332,-0.156,0.277,-0.086,0.25,-0.168,0.117,-0.27,0.242,-0.039,0.207,-0.109,0.125,-0.145,0.223,-0.098,0.277,0.051,0.16,0.016,0.207,0.18,0.043,0.055,0.184,-0.023,0.129,0.246,0.18,0.238,0.187,0.152,0.199,0.145,0.242,0.145,0.156,0.25,0.184,0.184,0.16,0.203,0.105,0.152,0.133,0.254,0.07,0.25,-0.027,0.187,0.086,0.156,-0.113,0.242,-0.004,0.133,-0.102,0.129,-0.008,0.062,-0.367,0.07,-0.195,0.191,-0.187,0.082,-0.34,0.062,-0.332,0.059,-0.375,0.059,-0.246,-0.109,-0.133,-0.133,-0.039,-0.07,0.012,-0.02,0.016,0.008,0.016,0.004,-0.035,-0.008,0.004,0.012
0.016,0.008,0.023,0.004,0.039,0.016,0.066,-0.012,0.078,-0.008,0.164,0.035,0.223,0.078,0.316,0.125,0.344,0.098,0.359,0.145,0.348,0.172,0.266,0.187,0.102,0.266,0.137,0.262,0.031,0.168,-0.012,0.16,-0.004,0.309,-0.035,0.242,-0.039,0.172,-0.035,0.363,-0.258,0.227,-0.164,0.148,-0.074,0.082,-0.219,-0.129,-0.273,0.219,-0.355,0.117,-0.336,0.199,-0.285,-0.012,-0.336,0.035,-0.262,-0.023,-0.352,0.008,-0.32,-0.023,-0.238,-0.145,-0.238,-0.074,-0.125,0,-0.176,-0.102,-0.078,-0.207,-0.098,-0.18,-0.168,-0.043,0,-0.164,-0.051,-0.23,-0.043,-0.254,-0.016,-0.176,-0.016,-0.215,-0.051,-0.223,-0.094,-0.273,-0.012,-0.152,0.082,-0.211,0.012,-0.219,0.035,-0.137,0.098,-0.109,0.141,-0.207,0.051,-0.129,0.102,-0.086,0.047,-0.082,-0.039,-0.18,-0.008,-0.121,-0.043,-0.133,0.027,-0.105,0.133,-0.094,0.066,-0.16,0.273,-0.227,0.238,-0.039,0.121,-0.176,0.074,-0.211,0.156,-0.172,0.223,0.012,0.098,-0.07,0.035,-0.031,0.129,0.176,0.191,0.023,0.309,0.121,0.312,0.031,0.141,0.137,0.238,0.172,0.207,0.141,0.215,0,0.207,0.113,0.227,0.16,0.16,0.156,0.195,0.191,0.129,0.156,-0.008,0.172,0.02,0.164,0.121,0.156,0.051,0.145,0.09,0.121,0.004,0.176,-0.035,0.191,0.031,0.125,-0.02,0.168,-0.035,0.145,-0.113,0.141,-0.098,0.207,-0.094,0.152,-0.215,0.055,-0.148,0.062,-0.176,0.105,-0.195,0.027,-0.234,0.02
0.016,0.004,0.016,0.008,0.035,0.004,0.035,0.008,0.074,0.016,0.16,0.012,0.289,0.047,0.355,0.07,0.348,0.074,0.324,0.117,0.203,0.164,0.266,0.156,0.051,0.273,0.012,0.219,-0.047,0.219,0.043,0.293,-0.035,0.195,-0.062,0.246,-0.035,0.258,-0.082,0.129,-0.141,0.223,-0.047,0.184,-0.187,0.066,-0.137,0.148,-0.215,0.207,-0.098,0.094,-0.086,0.027,-0.223,0.043,-0.258,-0.023,-0.23,0.094,-0.074,-0.016,-0.176,0.094,-0.137,-0.078,-0.238,0.012,-0.242,-0.027,-0.156,-0.039,-0.203,-0.086,-0.168,-0.191,-0.148,-0.105,-0.035,-0.145,-0.172,-0.187,-0.18,-0.187,-0.227,-0.184,-0.145,-0.141,-0.164,-0.203,-0.074,-0.238,-0.109,-0.117,-0.035,-0.141,-0.129,-0.168,0.008,-0.117,-0.016,-0.105,0.07,-0.133,0.059,-0.121,0.172,-0.176,0.098,-0.195,0.004,-0.203,0.117,-0.129,0.035,-0.137,0.074,-0.277,0.109,-0.098,0.098,-0.027,0.184,-0.109,0.332,-0.141,0.246,-0.055,0.125,-0.102,0.141,-0.031,-0.043,-0.125,0.051,-0.133,0.059,-0.102,0.156,-0.051,0.113,-0.07,0.164,0.047,0.305,0.043,0.113,0.102,0.316,0.008,0.273,0.043,0.078,-0.035,0.145,0.078,0.238,0.164,0.094,0.066,0.23,0.16,0.211,0.125,0.168,0.117,0.121,0.191,0.133,0.168,0.051,0.254,0.023,0.168,0.074,0.18,-0.051,0.18,0.031,0.16,0.012,0.152,0,0.156,-0.004,0.156,-0.086,0.117,-0.062,0.059,-0.172,0.09,-0.203,0.121,-0.199,0.039,-0.238,0.047,-0.203,0.016
0.047,-0.004,0.035,-0.004,0.051,-0.012,0.023,-0.008,0.043,0.023,0.031,0.02,0.047,0.031,0.074,0.031,0.094,0.031,0.125,0.051,0.184,0.09,0.254,0.094,0.312,0.059,0.301,0.066,0.387,0.117,0.223,0.16,0.098,0.195,0.102,0.117,0.148,0.223,0.062,0.258,-0.07,0.254,0.094,0.242,-0.004,0.238,0.051,-0.004,-0.078,0.137,-0.133,0.176,-0.215,0.066,-0.113,0.059,-0.191,0.07,-0.012,0.105,-0.305,0.016,-0.355,0.121,-0.191,-0.012,-0.203,0.051,-0.148,0.008,-0.219,0.109,-0.121,0.137,-0.055,0.039,-0.137,0.027,-0.082,-0.02,-0.184,-0.055,-0.117,-0.059,-0.141,-0.062,-0.316,-0.078,-0.203,-0.082,-0.223,-0.125,-0.168,-0.168,-0.168,-0.086,-0.223,-0.145,-0.18,-0.145,-0.051,-0.187,-0.094,-0.141,-0.062,-0.141,-0.027,-0.168,0.066,-0.219,0.043,-0.117,0.055,-0.113,0.156,-0.086,0.09,-0.148,0.008,-0.254,0.113,-0.305,-0.047,-0.215,-0.043,-0.176,0.125,-0.156,0.078,-0.176,0.098,-0.25,0.094,-0.262,0.062,-0.16,0.031,-0.207,0.086,-0.203,0.059,-0.098,0.195,-0.242,-0.102,-0.043,0.285,-0.133,0.266,-0.031,0.316,-0.055,0.223,-0.102,0.375,-0.09,0.32,0.199,0.281,0.09,0.469,0.066,0.262,0.16,0.23,0.215,0.141,0.187,0.262,0.242,0.035,0.227,0.113,0.172,0.219,0.34,0.246,0.25,0.172,0.152,0.086,0.281,0.074,0.117,0.031,0.234,0.031,0.227,-0.117,0.184,-0.133,0.078,-0.07,0.109,-0.105,0.141,-0.156,0.078,-0.227,0.074
0.051,0.023,0.016,0.008,0.012,0.004,0.027,0.012,0.043,0.023,0.07,0.027,0.152,0.055,0.352,0.004,0.391,-0.016,0.336,0.031,0.375,0.07,0.27,0.113,0.137,0.168,0.16,0.129,0.082,0.094,0.141,0.129,0.172,0.227,-0.051,0.191,-0.359,0.285,-0.215,0.234,-0.215,0.223,-0.082,0.137,-0.051,0.164,-0.16,0.098,0.008,0.262,-0.109,0.18,-0.027,0.152,-0.176,0.074,-0.203,0.129,-0.262,0.098,-0.285,0.043,-0.215,0.07,-0.187,0.004,-0.047,0.035,-0.133,0.094,-0.219,0.234,-0.211,-0.133,-0.199,-0.027,-0.234,-0.105,-0.285,-0.129,-0.301,-0.09,-0.266,-0.086,-0.281,-0.148,-0.223,-0.207,-0.105,-0.207,-0.219,-0.129,-0.113,-0.121,-0.109,-0.137,0.066,-0.168,0.066,-0.223,0.008,-0.078,-0.055,-0.227,0.082,-0.062,0.125,-0.035,0.141,-0.109,-0.051,-0.184,0.082,-0.156,0.031,-0.219,0.059,-0.047,0.125,-0.094,0.078,-0.211,0.008,-0.227,0.191,-0.176,0.113,-0.184,0.148,-0.105,0.277,-0.117,0.152,-0.176,0.199,-0.238,0.211,-0.207,0.082,0.098,0.332,-0.09,0.18,-0.098,0.289,-0.07,0.219,-0.07,0.164,0.047,0.5,0.113,0.219,0.055,0.184,0.066,0.273,0.121,0.148,0.027,0.211,0.156,0.238,0.27,0.363,0.316,0.164,0.199,0.152,0.27,-0.035,0.16,-0.105,0.168,0.113,0.168,-0.039,0.164,0.02,0.094,0.074,0.094,-0.082,0.137,-0.047,0.133,-0.012,0.172,-0.133,0.137,-0.09,0.098,-0.168,0.117,-0.09,0.035,-0.145,0.016,-0.227,0.055
0.023,0.004,0.016,0.004,0.02,0.004,0.07,-0.008,0.051,-0.012,0.086,0.012,0.148,0.047,0.227,0.039,0.246,0.035,0.324,0.07,0.285,0.133,0.266,0.133,0.273,0.176,0.266,0.187,0.102,0.273,0.172,0.32,0.09,0.285,-0.242,0.242,-0.18,0.176,-0.125,0.18,-0.094,0.211,-0.012,0.23,-0.004,0.25,-0.109,0.234,-0.094,0.207,-0.328,0.145,-0.164,0.059,-0.215,-0.008,-0.344,0.125,-0.285,0.129,-0.246,0.062,-0.223,-0.043,-0.289,0.012,-0.32,-0.023,-0.133,0.02,-0.246,-0.016,-0.293,-0.117,-0.223,-0.094,-0.297,-0.125,-0.211,-0.047,-0.184,-0.254,-0.195,-0.242,-0.121,-0.191,-0.004,-0.234,-0.172,-0.246,-0.039,-0.262,-0.129,-0.203,0.012,-0.176,0.07,-0.086,0.109,-0.109,0.012,-0.16,0.07,-0.125,0.016,-0.211,0.148,0.035,0.102,-0.109,0.164,-0.117,0.105,-0.18,0.102,-0.207,0.098,-0.18,0.066,-0.039,0.23,-0.227,0.246,-0.16,0.344,-0.152,0.352,-0.141,0.297,0.043,0.262,-0.164,0.367,0.023,0.195,-0.121,0.176,-0.066,0.215,0.137,0.152,-0.027,0.25,0.133,0.242,0.148,0.355,0.187,0.078,0.211,0.203,0.289,0.262,0.102,0.328,-0.004,0.184,0.121,0.27,0.285,0.043,0.238,0.168,0.207,0.113,0.227,-0.02,0.105,-0.02,0.23,-0.016,0.129,-0.09,0.18,-0.113,0.156,-0.086,0.105,-0.113,0.059,-0.117,0.09,-0.094,0.082,-0.164,0.07,-0.137,0.02,-0.141,0.023,-0.184,0.02,-0.156,-0.004,-0.172,0.004,-0.172,0,-0.102,0.031
